nome,preco
Patricia Abravanel Intenso Desodorante Colônia Feminina 100 ml,"R$ 110,42"
"Lápis Para Olhos Ellas Kajal 1, 2 g","R$ 16,06"
"Shampoo Sensi Hidratacao e Maciez, 250 ml","R$ 13,52"
"Kit Eu Quero Pistache, 3 un","R$ 67,90"
"Kit Facial Sensi, 4 un","R$ 84,90"
"Kit Banho Com Todo Amor E Carinho, 2 un","R$ 63,58"
"Kit Eu Desejo Frutas Vermelhas, 3 un","R$ 66,04"
"Kit Eu Conquisto Vanilla, 3 un","R$ 66,04"
"Kit Eliana Turmalina, 1 un","R$ 84,90"
"Kit Eu Provoco Morangos com Champagne, 3 un","R$ 66,04"
"Kit Banho Meu Bebê, 6 un","R$ 116,90"
"Kit Corpo e Banho Eu Conquisto Vanilla, 4 un","R$ 111,60"
Kit de Sabonetes Hidratante em Barra Sensi  10 un,"R$ 29,90"
"Kit Óllio Amêndoas E Especiarias, 1 un","R$ 59,42"
"Kit Barbie Girl Power, 4 un","R$ 59,90"
"Kit Eu Desperto Blackberry com Açúcar, 3 un","R$ 66,04"
Kit de Sabonetes Hidratante em Barra Sensi  10 un,"R$ 26,90"
Kit de Sabonetes Hidratante em Barra Sensi  10 un,"R$ 29,90"
"Kit de Sabonetes Hidratantes em Barra Sensi, 3 un","R$ 62,70"
Kit de Sabonetes Hidratante em Barra Sensi  10 un,"R$ 26,90"
Kit de Sabonetes Hidratante em Barra Sensi  10 un,"R$ 26,90"
Kit de Sabonetes Hidratante em Barra Sensi  10 un,"R$ 26,90"
"Kit Coleção Rebeca Abravanel, 5 un","R$ 113,90"
"Kit Justice League, 4 un","R$ 66,90"
