nome,preco
Patricia Abravanel Intenso Desodorante Colônia Feminina 100 ml,"R$ 110,42"
"Batom Cremoso Ellas Candy Rosa, 3,5 g","R$ 8,42"
"Shampoo Sensi Hidratacao e Maciez, 250 ml","R$ 13,52"
Desodorante Colônia Splash Eu Conquisto 200 ml,"R$ 36,46"
Desodorante Colônia Splash Eu Provoco Morangos com Champagne 200 ml,"R$ 36,46"
Desodorante Colônia Splash Vida + Amor Flor de Amora 250 ml,"R$ 38,16"
Desodorante Colônia Splash Eu Desperto Blackberry Com Açúcar  200 ml,"R$ 36,46"
